Problem,Start,End
Question 1 Spring 2017 Exam 1,15,269
Question 1 Spring 2022 Exam 1,47,659
Question 1 Spring 2016 Exam 1,0,337
Question 7 Spring 2022 Exam 1,2455,2744
Question 1 Fall 2017 Exam 1,40,432
Question 2 Spring 2019 Exam 1,247,851
Question 1 Fall 2021 Exam 1,33,498
Question 1 Fall 2018 Exam 1,53,563
Question 2 Fall 2016 Exam 1,82,327
Question 1 Fall 2018 Final,11,101
Question 2 Spring 2020 Exam 1,425,793
Question 1 Spring 2019 Final,10,341
